epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,17498,0.77681,1.5163,1.04523,0.96622,0.58149,0.46521,0.47419,0.35434,0.56636,0.45618,0.46069,0.30341,0.83191,1.57241,0.97975,0.94604,0.002674,0.002674,0.002674
76,17732.4,0.77359,1.51036,1.04453,0.96427,0.57872,0.46652,0.47352,0.35351,0.57651,0.45091,0.46009,0.3036,0.83125,1.57156,0.97838,0.94554,0.002575,0.002575,0.002575
77,17967.8,0.7718,1.50616,1.04142,0.96382,0.5732,0.46619,0.47747,0.3549,0.57709,0.4506,0.46404,0.30567,0.83054,1.5696,0.97765,0.94508,0.002476,0.002476,0.002476
78,18203.3,0.77305,1.50453,1.03948,0.96363,0.56597,0.46873,0.47694,0.35485,0.55628,0.45773,0.46355,0.30548,0.82958,1.56898,0.97688,0.94454,0.002377,0.002377,0.002377
79,18436.1,0.76969,1.50441,1.03492,0.96327,0.56455,0.47125,0.47755,0.35572,0.55296,0.45656,0.46391,0.30595,0.8289,1.56713,0.97588,0.94417,0.002278,0.002278,0.002278
80,18668.8,0.76634,1.49409,1.0332,0.96262,0.57275,0.47295,0.47771,0.35594,0.55853,0.46476,0.4642,0.30633,0.82854,1.56698,0.97485,0.94409,0.002179,0.002179,0.002179
81,18898.2,0.76798,1.49723,1.03133,0.96248,0.58256,0.46263,0.47833,0.35668,0.56955,0.45432,0.4649,0.30679,0.82839,1.56688,0.97433,0.94414,0.00208,0.00208,0.00208
82,19129.9,0.76371,1.48634,1.02224,0.95934,0.57568,0.47179,0.47815,0.35722,0.56552,0.46214,0.46432,0.30641,0.82801,1.56581,0.97327,0.94424,0.001981,0.001981,0.001981
83,19358.2,0.76145,1.48168,1.0185,0.95991,0.57472,0.47134,0.47845,0.3585,0.56138,0.4641,0.46495,0.30685,0.82749,1.5654,0.97208,0.94384,0.001882,0.001882,0.001882
84,19592.3,0.75828,1.47728,1.01866,0.95811,0.57754,0.46895,0.47895,0.35932,0.56773,0.46067,0.46567,0.30777,0.82639,1.56479,0.97138,0.94331,0.001783,0.001783,0.001783
85,19825.5,0.75803,1.48002,1.0138,0.95824,0.57795,0.47092,0.47949,0.35919,0.56407,0.46502,0.46574,0.30781,0.82613,1.5641,0.9701,0.94315,0.001684,0.001684,0.001684
86,20060.3,0.75381,1.46832,1.00718,0.95643,0.58036,0.46885,0.47964,0.35883,0.56407,0.46422,0.46589,0.30775,0.82614,1.56318,0.96959,0.94319,0.001585,0.001585,0.001585
87,20295.5,0.75464,1.4754,1.00504,0.9566,0.58214,0.46484,0.47943,0.35999,0.57181,0.4585,0.4666,0.30802,0.82584,1.56183,0.96829,0.94311,0.001486,0.001486,0.001486
88,20530.6,0.75232,1.46866,1.00281,0.95597,0.57875,0.46709,0.4764,0.35868,0.57403,0.45904,0.46377,0.30733,0.82522,1.56058,0.96701,0.94279,0.001387,0.001387,0.001387
89,20768,0.74841,1.46332,0.99808,0.95496,0.58094,0.46948,0.47699,0.35973,0.57461,0.46123,0.46425,0.30779,0.82445,1.5588,0.96569,0.94231,0.001288,0.001288,0.001288
90,21007,0.74749,1.45862,0.99213,0.95396,0.57908,0.47377,0.47753,0.36024,0.5763,0.46325,0.46503,0.3083,0.82422,1.55863,0.96485,0.94214,0.001189,0.001189,0.001189
91,21239,0.74587,1.44266,0.89504,0.93841,0.57956,0.47351,0.47803,0.3609,0.57846,0.46073,0.46565,0.30911,0.82403,1.55693,0.96443,0.9421,0.00109,0.00109,0.00109
92,21473.5,0.73883,1.42358,0.88133,0.93432,0.58486,0.47164,0.47836,0.36186,0.57824,0.46414,0.46585,0.30957,0.82411,1.55589,0.96374,0.94173,0.000991,0.000991,0.000991
93,21703.2,0.73525,1.42316,0.87416,0.9332,0.57384,0.47725,0.47918,0.36251,0.57032,0.46886,0.4668,0.31035,0.82409,1.55589,0.96299,0.94164,0.000892,0.000892,0.000892
94,21931.4,0.73325,1.41326,0.86542,0.93171,0.57316,0.4779,0.47903,0.36331,0.59556,0.45501,0.46623,0.31023,0.82389,1.5548,0.96274,0.9415,0.000793,0.000793,0.000793
95,22165.2,0.72801,1.40463,0.86046,0.93038,0.58763,0.46843,0.47949,0.36267,0.59682,0.45492,0.46668,0.31005,0.82399,1.55379,0.96202,0.9414,0.000694,0.000694,0.000694
96,22392.2,0.7231,1.39652,0.84924,0.92829,0.5719,0.47705,0.481,0.36425,0.59218,0.45437,0.46832,0.3113,0.82371,1.55314,0.96167,0.94138,0.000595,0.000595,0.000595
97,22622.9,0.72052,1.39107,0.8451,0.92715,0.57435,0.47604,0.48109,0.36457,0.56817,0.46677,0.46872,0.31145,0.82313,1.5511,0.96092,0.94095,0.000496,0.000496,0.000496
98,22855,0.71741,1.38525,0.83891,0.92594,0.57328,0.47615,0.48105,0.3648,0.56975,0.46625,0.46848,0.3119,0.8226,1.54959,0.96062,0.9406,0.000397,0.000397,0.000397
99,23083.9,0.71446,1.38122,0.83161,0.92417,0.59504,0.46403,0.48113,0.36488,0.58628,0.45859,0.46885,0.3127,0.82244,1.54863,0.95965,0.94048,0.000298,0.000298,0.000298
100,23318.5,0.71109,1.37447,0.82461,0.92402,0.58467,0.46855,0.48515,0.36609,0.57269,0.46297,0.47347,0.31466,0.82231,1.54866,0.95973,0.94036,0.000199,0.000199,0.000199
